Prel	liquid_fraction	
0.928037	0.659393
0.927935	0.657509
0.927914	0.655625
0.927931	0.653739
0.927839	0.651853
0.927751	0.649971
0.927914	0.648082
0.927649	0.6462
0.927645	0.64432
0.927638	0.642441
0.927716	0.640559
0.927493	0.638682
0.927649	0.636802
0.927642	0.634917
0.927539	0.633032
0.92756	0.631145
0.927539	0.629255
0.927497	0.627364
0.927426	0.625474
0.927352	0.623586
0.92726	0.621703
0.927218	0.619823
0.927239	0.617945
0.927151	0.61607
0.927094	0.614199
0.92708	0.61233
0.927091	0.610461
0.927077	0.608591
0.927084	0.606718
0.926872	0.604851
0.927052	0.602979
0.926815	0.601113
0.927077	0.599237
0.926801	0.597365
0.926875	0.595492
0.926787	0.593619
0.926769	0.591746
0.926724	0.589874
0.926685	0.588002
0.926741	0.586127
0.926671	0.584251
0.926667	0.582373
0.926663	0.580493
0.926667	0.578608
0.92648	0.576727
0.926515	0.574846
0.926423	0.572968
0.926413	0.571091
0.926427	0.569213
0.926409	0.567334
0.926533	0.565447
0.926406	0.563557
0.926388	0.561666
0.926342	0.559774
0.926367	0.557878
0.926254	0.555984
0.926233	0.55409
0.926197	0.552197
0.926148	0.550305
0.925971	0.548422
0.926038	0.54654
0.925961	0.544661
0.925922	0.542786
0.925918	0.540913
0.925869	0.539041
0.925904	0.537168
0.925837	0.535295
0.925749	0.533426
0.925834	0.531553
0.925897	0.529674
0.925788	0.527793
0.925827	0.525907
0.925646	0.524025
0.925544	0.522149
0.925544	0.520275
0.925392	0.518409
0.925403	0.516546
0.925382	0.514687
0.925392	0.512828
0.925378	0.510969
0.925223	0.509114
0.925279	0.50726
0.92512	0.50541
0.925134	0.503563
0.925145	0.501715
0.925007	0.499871
0.92499	0.49803
0.924972	0.496189
0.925092	0.494343
0.924993	0.492494
0.92494	0.490645
0.924898	0.488794
0.924891	0.486942
0.924689	0.485096
0.92464	0.483255
0.924658	0.481416
0.92464	0.479576
0.924608	0.477737
0.924718	0.475892
0.924573	0.474046
0.924562	0.472199
0.924326	0.47036
0.924509	0.468516
0.924403	0.466673
0.92434	0.464831
0.924315	0.462989
0.924312	0.461146
0.924202	0.459305
0.924184	0.457465
0.92417	0.455624
0.924114	0.453784
0.924153	0.451941
0.924156	0.450094
0.924149	0.448243
0.923895	0.446397
0.923905	0.444554
0.923948	0.442709
0.923849	0.440866
0.923874	0.439022
0.923764	0.437179
0.923771	0.435337
0.923648	0.433497
0.923528	0.431665
0.923517	0.429835
0.923718	0.427999
0.923503	0.426164
0.923386	0.424335
0.923344	0.422509
0.923513	0.420677
0.923429	0.418843
0.92333	0.417009
0.923273	0.415176
0.923259	0.413343
0.923259	0.411508
0.923111	0.409677
0.923069	0.407848
0.923054	0.40602
0.922839	0.404201
0.922948	0.402381
0.922948	0.400561
0.922684	0.398749
0.92285	0.396934
0.922807	0.395118
0.922691	0.393304
0.922648	0.391491
0.922539	0.389682
0.922542	0.387874
0.922398	0.386072
0.922348	0.384274
0.92233	0.382479
0.92226	0.380686
0.922214	0.378896
0.922263	0.377104
0.922249	0.375309
0.922207	0.373511
0.92214	0.371711
0.922108	0.36991
0.921903	0.368115
0.921942	0.366321
0.921871	0.364528
0.921811	0.362737
0.921716	0.36095
0.921723	0.359163
0.921518	0.357384
0.92172	0.355599
0.921568	0.353815
0.921631	0.352027
0.921465	0.35024
0.921419	0.348455
0.921363	0.346671
0.921328	0.344887
0.921271	0.343104
0.921112	0.341327
0.921133	0.33955
0.92102	0.337778
0.920996	0.336008
0.921031	0.334235
0.921045	0.332458
0.920996	0.330677
0.920939	0.328894
0.920897	0.327108
0.920868	0.32532
0.920653	0.323537
0.920625	0.321757
0.920639	0.319977
0.920632	0.318195
0.920445	0.316418
0.920565	0.314636
0.920579	0.312849
0.920473	0.311061
0.920455	0.309269
0.920243	0.307482
0.9203	0.305695
0.920201	0.303909
0.920197	0.302123
0.920176	0.300336
0.920039	0.298551
0.92006	0.296766
0.919904	0.294985
0.920053	0.293198
0.920014	0.291407
0.919957	0.289613
0.919791	0.287822
0.919774	0.286031
0.919682	0.284243
0.919689	0.282456
0.919569	0.280671
0.919586	0.278886
0.919403	0.277107
0.919364	0.275332
0.919424	0.273555
0.919343	0.27178
0.919212	0.270008
0.919283	0.268234
0.919106	0.266464
0.918958	0.264701
0.91888	0.262946
0.918855	0.261195
0.918795	0.259448
0.91888	0.257698
0.918788	0.255948
0.918538	0.254206
0.918672	0.252462
0.918495	0.250722
0.918464	0.248985
0.918382	0.24725
0.918283	0.245519
0.91835	0.243786
0.918015	0.242064
0.918114	0.240344
0.918047	0.238625
0.917902	0.236911
0.917874	0.235199
0.917814	0.23349
0.917708	0.231784
0.91763	0.230082
0.917538	0.228384
0.917538	0.226687
0.917542	0.224987
0.917478	0.223286
0.917259	0.221589
0.917111	0.219901
0.917132	0.218215
0.917118	0.216529
0.916931	0.214848
0.916867	0.213171
0.91674	0.211499
0.91668	0.209832
0.916458	0.208176
0.91644	0.206524
0.916426	0.204875
0.916345	0.203228
0.916105	0.20159
0.915963	0.199962
0.915854	0.198344
0.91591	0.196727
0.915684	0.195118
0.915642	0.193513
0.915497	0.191916
0.915229	0.190331
0.915335	0.188748
0.915176	0.187171
0.915063	0.185599
0.914858	0.184036
0.914752	0.182481
0.914607	0.180935
0.914554	0.179394
0.914339	0.177863
0.914226	0.17634
0.91406	0.174827
0.913901	0.173324
0.913834	0.171828
0.913537	0.170345
0.913512	0.168871
0.913442	0.1674
0.913128	0.165943
0.913029	0.164495
0.91293	0.163054
0.912654	0.161626
0.912407	0.160213
0.912255	0.158815
0.912209	0.157424
0.911983	0.156044
0.911715	0.15468
0.911676	0.153323
0.911404	0.151978
0.911083	0.150653
0.911012	0.149338
0.910857	0.148034
0.910553	0.146745
0.910444	0.145466
0.910281	0.144196
0.910027	0.142939
0.90978	0.141695
0.909621	0.140463
0.90936	0.139244
0.909292	0.138032
0.908943	0.136834
0.908795	0.135646
0.908523	0.134471
0.908286	0.133309
0.90812	0.132158
0.907961	0.131015
0.907643	0.129884
0.907463	0.128763
0.907202	0.127654
0.906877	0.126561
0.906746	0.125478
0.90646	0.124407
0.906308	0.123345
0.906022	0.122293
0.905892	0.121248
0.905496	0.120216
0.905214	0.119198
0.905122	0.118188
0.904712	0.117192
0.904564	0.116206
0.904243	0.115232
0.904084	0.114265
0.90373	0.113312
0.903395	0.112374
0.903243	0.111445
0.903088	0.110521
0.902756	0.109606
0.90236	0.108706
0.902223	0.107814
0.901802	0.106937
0.901703	0.106066
0.901319	0.105207
0.901138	0.104355
0.900803	0.103514
0.90051	0.102684
0.900245	0.101863
0.899832	0.101058
0.899669	0.100262
0.899394	0.0994738
0.89896	0.0987013
0.898864	0.0979338
0.898451	0.0971781
0.898204	0.0964312
0.8979	0.0956938
0.897642	0.094964
0.897275	0.0942452
0.896961	0.0935375
0.896812	0.0928336
0.896392	0.09214
0.895997	0.0914603
0.895912	0.0907834
0.895573	0.0901124
0.895223	0.0894495
0.894902	0.0887953
0.894506	0.0881534
0.894129	0.0875259
0.893991	0.0869036
0.89368	0.0862873
0.893263	0.0856819
0.893112	0.0850792
0.89278	0.0844812
0.892381	0.0838922
0.892045	0.0833122
0.891872	0.0827345
0.891399	0.0821672
0.891138	0.0816067
0.890749	0.081056
0.890523	0.0805103
0.89	0.079979
0.889845	0.0794525
0.889637	0.0789265
0.889142	0.0784098
0.888983	0.077894
0.888577	0.0773841
0.888224	0.0768809
0.887832	0.0763873
0.887585	0.0758988
0.887334	0.0754121
0.886864	0.0749345
0.88649	0.0744669
0.886229	0.0740053
0.885999	0.0735452
0.88566	0.0730878
0.885314	0.0726343
0.884901	0.0721883
0.884565	0.0717494
0.884173	0.0713197
0.883831	0.0708986
0.883591	0.0704811
0.883167	0.0700715
0.882902	0.0696658
0.882768	0.0692551
0.882231	0.0688508
0.882033	0.0684455
0.881525	0.0680483
0.881228	0.0676563
0.880769	0.0672746
0.880476	0.0668998
0.880088	0.0665336
0.879865	0.0661697
0.879593	0.0658055
0.87918	0.0654453
0.878929	0.0650846
0.878534	0.064727
0.878167	0.0643735
0.877873	0.0640218
0.877407	0.0636778
0.877104	0.0633388
0.876641	0.0630098
0.876454	0.0626823
0.875949	0.0623641
0.875723	0.0620484
0.875433	0.061733
0.874971	0.0614239
0.874745	0.0611147
0.874155	0.0608172
0.874042	0.0605186
0.873699	0.06022
0.873216	0.0599281
0.872894	0.0596405
0.872495	0.0593594
0.872181	0.0590823
0.87199	0.058802
0.871503	0.0585261
0.871118	0.0582555
0.870818	0.0579875
0.87051	0.0577201
0.870023	0.0574599
0.869854	0.0571976
0.869451	0.0569369
0.869052	0.0566799
0.868752	0.0564239
0.868526	0.0561639
0.867993	0.0559095
0.86783	0.0556512
0.86729	0.0553992
0.866972	0.0551508
0.866654	0.0549043
0.866266	0.0546616
0.865941	0.0544211
0.865468	0.0541884
0.865235	0.0539567
0.864889	0.0537262
0.864468	0.0535003
0.864179	0.0532754
0.863709	0.0530571
0.863366	0.0528438
0.863073	0.0526321
0.862643	0.0524259
0.862374	0.0522202
0.861947	0.0520076
0.861407	0.0518091
0.861286	0.0516114
0.860764	0.0514229
0.860545	0.0512354
0.860298	0.0510448
0.859839	0.0508567
0.85951	0.0506695
0.859037	0.0504887
0.85868	0.050313
0.858362	0.05014
0.857932	0.0499729
0.857437	0.0498168
0.857367	0.0496566
0.856999	0.0494946
0.856547	0.0493355
0.856166	0.0491797
0.855873	0.0490239
0.85541	0.0488731
0.85523	0.0487185
0.855001	0.0485557
0.854503	0.0483932
0.85422	0.0482274
0.853712	0.0480662
0.853411	0.0479062
0.852981	0.0477507
0.852825	0.0475902
0.852504	0.0474248
0.851985	0.0472631
