Prel	transmission
0.735765	0.652442
0.735652	0.651973
0.73567	0.653206
0.735656	0.650035
0.73555	0.651262
0.735585	0.6568
0.735666	0.656498
0.735645	0.655604
0.735634	0.6565
0.73562	0.654976
0.73531	0.658065
0.735303	0.656623
0.735567	0.654795
0.735247	0.650069
0.735508	0.658494
0.7355	0.657937
0.735381	0.652538
0.73536	0.65528
0.735314	0.658215
0.735243	0.65054
0.73537	0.654344
0.735229	0.654212
0.735092	0.655484
0.735236	0.656994
0.735148	0.65486
0.735137	0.65448
0.735155	0.654972
0.735099	0.654601
0.735123	0.654161
0.735035	0.654232
0.735021	0.658147
0.735021	0.659032
0.735074	0.657651
0.734863	0.657169
0.735085	0.656695
0.734831	0.656163
0.735085	0.657855
0.735039	0.659254
0.734831	0.656771
0.734915	0.656791
0.734831	0.655218
0.734803	0.656693
0.734838	0.659578
0.734774	0.656297
0.734746	0.657832
0.734799	0.656954
0.734722	0.664056
0.734715	0.665297
0.734676	0.662993
0.734531	0.663527
0.734591	0.660148
0.734637	0.664253
0.734482	0.661839
0.734408	0.659752
0.734461	0.663448
0.734411	0.663252
0.734411	0.664403
0.734415	0.66186
0.734373	0.662239
0.734285	0.65663
0.734426	0.658715
0.73426	0.656769
0.734239	0.656954
0.734263	0.662235
0.734242	0.655564
0.734309	0.656999
0.734306	0.65853
0.734168	0.660954
0.734207	0.658185
0.734144	0.657899
0.734098	0.66183
0.734063	0.658241
0.73401	0.655812
0.733992	0.656474
0.733964	0.661594
0.733939	0.662061
0.733918	0.662356
0.7339	0.655115
0.733876	0.66266
0.733904	0.660793
0.733865	0.661848
0.733738	0.662067
0.733682	0.660626
0.733872	0.659178
0.733615	0.661813
0.733798	0.656744
0.733735	0.660317
0.733668	0.653754
0.733611	0.660255
0.733608	0.663031
0.733618	0.658308
0.733576	0.661886
0.733537	0.658691
0.733502	0.658177
0.733527	0.657826
0.733474	0.659879
0.733456	0.658708
0.733358	0.66171
0.733305	0.662011
0.733263	0.661104
0.733322	0.653921
0.733206	0.656252
0.733196	0.660324
0.733143	0.654865
0.733192	0.652746
0.733104	0.651077
0.733199	0.657794
0.733203	0.652076
0.733051	0.656375
0.73304	0.658805
0.733167	0.649932
0.733136	0.64707
0.733062	0.657066
0.733107	0.647213
0.733079	0.648292
0.733012	0.657533
0.733023	0.655224
0.732963	0.655611
0.733019	0.653959
0.732861	0.653115
0.732847	0.65332
0.732804	0.648189
0.732804	0.65351
0.732797	0.652073
0.732783	0.651454
0.732702	0.651416
0.73267	0.648332
0.732692	0.651919
0.732744	0.653193
0.732773	0.656438
0.732632	0.652067
0.732462	0.651003
0.732766	0.653247
0.732713	0.654529
0.73266	0.65492
0.732699	0.657669
0.732388	0.65861
0.732625	0.657041
0.732582	0.656956
0.732445	0.647896
0.732392	0.659182
0.732378	0.654552
0.732431	0.65442
0.732374	0.655135
0.732321	0.655361
0.732307	0.660248
0.732286	0.657408
0.732307	0.657511
0.732258	0.657245
0.732247	0.657663
0.732269	0.656722
0.732226	0.653121
0.732142	0.65537
0.73223	0.655799
0.732237	0.656427
0.73224	0.657743
0.732216	0.657222
0.73224	0.657591
0.732226	0.656127
0.732205	0.659759
0.73193	0.659553
0.732138	0.659678
0.732057	0.660179
0.731994	0.657475
0.731877	0.658726
0.731976	0.657873
0.731969	0.65796
0.731814	0.656351
0.731821	0.655124
0.731927	0.659998
0.731941	0.656865
0.731867	0.659696
0.73181	0.657473
0.731846	0.658682
0.731849	0.658268
0.731814	0.655508
0.731772	0.655611
0.731818	0.658778
0.731751	0.657595
0.731743	0.660364
0.731624	0.657955
0.731627	0.659596
0.731588	0.658487
0.73156	0.65794
0.73155	0.660132
0.73155	0.657222
0.731546	0.656141
0.73155	0.658255
0.731567	0.659332
0.731405	0.655812
0.731504	0.657725
0.731409	0.657323
0.731543	0.657321
0.731504	0.659835
0.731458	0.658657
0.731458	0.65741
0.731423	0.656659
0.731423	0.658431
0.731342	0.656002
0.731384	0.657844
0.731229	0.656639
0.73119	0.655989
0.731338	0.657486
0.731215	0.656981
0.731141	0.655242
0.731084	0.655531
0.731134	0.656114
0.731116	0.655269
0.731088	0.653792
0.731074	0.656907
0.731025	0.657064
0.730993	0.654784
0.730975	0.653546
0.731	0.654134
0.730989	0.653419
0.730993	0.657198
0.731003	0.65242
0.730989	0.656335
0.730996	0.65709
0.730721	0.659636
0.730704	0.657571
