Prel	transmission
0.998683	1.07104
0.998649	1.06841
0.998541	1.07124
0.998683	1.07045
0.99868	1.07028
0.998624	1.06838
0.99869	1.06998
0.998586	1.06857
0.998586	1.06151
0.9986	1.06601
0.998687	1.06881
0.99869	1.06832
0.998676	1.06694
0.99851	1.06253
0.998652	1.063
0.998683	1.06437
0.998687	1.06273
0.99843	1.06576
0.998433	1.06534
0.99844	1.06861
0.998409	1.06849
0.998426	1.06312
0.998426	1.06273
0.998617	1.06548
0.99844	1.06369
0.998687	1.06637
0.998683	1.06817
0.998416	1.06442
0.998673	1.06573
0.998683	1.06699
0.998433	1.06941
0.998416	1.06803
0.998426	1.067
0.998419	1.06982
0.99861	1.06547
0.998419	1.06766
0.998423	1.06536
0.998683	1.06849
0.998666	1.0676
0.998419	1.06488
0.998423	1.06775
0.99843	1.06654
0.998551	1.06696
0.998426	1.06646
0.998576	1.06499
0.998412	1.06371
0.998579	1.06118
0.998676	1.06155
0.998475	1.06682
0.998419	1.07062
0.998593	1.06188
0.998416	1.06883
0.998416	1.06623
0.998423	1.05605
0.998426	1.06463
0.99843	1.06448
0.998426	1.05747
0.998458	1.06509
0.998503	1.0646
0.998433	1.06226
0.998458	1.06559
0.998378	1.06338
0.99843	1.06305
0.99843	1.06479
0.998409	1.0655
0.998506	1.06189
0.998454	1.06056
0.998412	1.06169
0.998426	1.06146
0.998419	1.06291
0.99843	1.06507
0.998423	1.06523
0.998426	1.06013
0.998496	1.06135
0.998426	1.06235
0.998454	1.06177
0.998416	1.06271
0.998579	1.06294
0.998551	1.06526
0.998524	1.06652
0.998492	1.06442
0.998433	1.06752
0.998555	1.06388
0.998433	1.06526
0.998433	1.06383
0.99868	1.0641
0.998458	1.06658
0.998437	1.06599
0.998676	1.06341
0.998701	1.06411
0.998621	1.06683
0.998433	1.06648
0.998576	1.06632
0.998572	1.06561
0.998458	1.06683
0.998426	1.06789
0.998621	1.07166
0.998433	1.06858
0.99843	1.0658
0.998617	1.06438
0.998645	1.06606
0.998673	1.06402
0.998583	1.06655
0.998683	1.06376
0.998673	1.06796
0.998426	1.06825
0.998423	1.06606
0.998673	1.0694
0.998694	1.06721
