Pcell	transmission
146.811	30026.6
146.763	30023.4
146.751	30020.2
146.723	30017
146.691	30013.8
146.679	30010.6
146.64	30007.4
146.62	30004.2
146.577	30001.1
146.579	29998
146.553	29994.7
146.507	29991.5
146.49	29988.4
146.471	29985.1
146.438	29981.9
146.427	29978.6
146.389	29975.3
146.355	29972.1
146.324	29969
146.32	29965.8
146.279	29962.7
146.239	29959.7
146.195	29956.9
146.193	29954.2
146.162	29951.5
146.127	29948.9
146.124	29946.2
146.072	29943.7
146.054	29941.2
146.012	29938.8
146.007	29936.4
145.984	29934
145.948	29931.6
145.926	29929.1
145.895	29926.7
145.858	29924.4
145.857	29922
145.806	29919.7
145.795	29917.4
145.756	29915.1
145.743	29912.8
145.701	29910.5
145.693	29908.2
145.669	29905.8
145.625	29903.5
145.57	29901.4
145.57	29899.4
145.562	29897.2
145.506	29895.2
145.489	29893.1
145.461	29891.2
145.44	29889.2
145.419	29887.1
145.414	29884.9
145.367	29882.7
145.322	29880.6
145.32	29878.4
145.285	29876.2
145.245	29874.2
145.25	29872
145.201	29869.8
145.171	29867.7
145.157	29865.6
145.125	29863.5
145.094	29861.5
145.069	29859.5
145.046	29857.4
145.004	29855.5
144.977	29853.7
144.945	29852
144.923	29850.4
144.88	29848.9
144.88	29847.4
144.857	29845.8
144.82	29844.2
144.798	29842.6
144.759	29841.1
144.735	29839.6
144.727	29838
144.687	29836.5
144.646	29835
144.626	29833.6
144.598	29832.3
144.555	29831
144.507	29830.1
144.503	29829.2
144.458	29828.4
144.445	29827.7
144.428	29827
144.385	29826.3
144.363	29825.6
144.332	29825
144.304	29824.5
144.3	29823.8
144.255	29823.1
144.212	29822.5
144.195	29822
144.178	29821.4
144.133	29820.9
144.107	29820.4
144.074	29820
144.046	29819.7
144.003	29819.5
143.986	29819.4
143.961	29819.3
143.925	29819.3
143.921	29819.1
143.868	29819.1
143.827	29819.2
143.82	29819.3
143.801	29819.4
143.752	29819.5
143.735	29819.6
143.714	29819.6
143.673	29819.7
143.631	29820
143.626	29820.2
143.587	29820.4
143.555	29820.6
143.548	29820.8
143.506	29821
143.486	29821.1
143.448	29821.3
143.427	29821.4
143.418	29821.4
143.362	29821.5
143.334	29821.6
143.299	29821.9
143.299	29822
143.278	29822
143.236	29821.9
143.195	29822
143.176	29822.1
143.14	29822.2
143.134	29822.2
143.121	29822.1
143.075	29821.9
143.038	29821.8
143.032	29821.6
142.997	29821.4
142.954	29821.2
142.946	29821
142.916	29820.8
142.89	29820.5
142.867	29820.2
142.854	29819.7
142.823	29819.2
142.765	29818.8
142.766	29818.3
142.746	29817.8
142.705	29817.2
142.704	29816.5
142.674	29815.7
142.639	29814.9
142.621	29814
142.6	29813
142.57	29811.9
142.534	29810.9
142.523	29809.8
142.503	29808.7
142.456	29807.6
142.435	29806.5
142.433	29805.2
142.394	29804
142.371	29802.7
142.332	29801.5
142.321	29800.3
142.28	29799.1
142.271	29797.9
142.252	29796.6
142.214	29795.3
142.196	29794
142.183	29792.5
142.153	29791
142.125	29789.5
